,src_id,dest_id,month,time_taken
1729,885,290,4,96.5311004784689
1730,885,290,5,64.13926499032883
1731,885,290,6,96.14627600089466
1732,885,290,7,90.86983343615053
1733,885,290,8,94.10437235543019
1734,885,290,9,93.42056074766356
1735,885,290,10,94.69420174741859
1736,885,290,11,93.14071294559099
1737,885,290,12,90.21769861464517
1738,885,884,1,127.75139664804469
1739,885,884,2,128.1587651598677
1740,885,884,3,128.47004959938954
1741,885,884,4,128.85167464114832
1742,885,884,5,127.15667311411993
1743,885,884,6,122.71080295235966
1744,885,884,7,40.56755089450956
1745,885,884,8,90.12693935119887
1746,885,884,9,93.75700934579439
1747,885,884,10,117.83161239078633
1748,885,884,11,85.53095684803002
1749,885,884,12,63.32485156912638
1750,885,1116,1,101.25
1751,885,1116,2,100.27571580063626
1752,885,1116,3,99.68900509150956
1753,885,1116,4,99.36962750716333
1754,885,1116,5,103.30241187384044
1755,885,1116,6,99.72646822204344
1756,885,1116,7,103.98576512455516
1757,885,1116,8,101.63265306122449
1758,885,1116,9,99.93358633776091
1759,885,1116,10,99.26345609065156
1760,885,1116,11,100.35426731078906
1761,885,1116,12,100.9875869594871
1762,888,302,1,133.125
1763,888,302,2,130.68928950159068
1764,888,302,3,128.97481766891428
1765,888,302,4,127.39255014326648
1766,888,302,5,137.42115027829314
1767,888,302,6,128.3024939662108
1768,888,302,7,139.16370106761565
1769,888,302,8,133.16326530612244
1770,888,302,9,128.9089184060721
1771,888,302,10,127.30878186968839
1772,888,302,11,130.0805152979066
1773,888,302,12,131.5727731550948
1774,888,902,1,120.0
1775,888,902,2,120.0
1776,888,902,3,120.0
1777,888,902,4,120.0
1778,888,902,5,120.0
1779,888,902,6,120.0
1780,888,902,7,43.13167259786477
1781,888,902,8,120.0
1782,888,902,9,120.0
1783,888,902,10,120.0
1784,888,902,11,120.0
1785,888,902,12,54.36911744646024
1787,889,251,2,19.013282732447816
1788,889,251,3,37.89050115839532
1789,889,251,4,97.92179967862882
1790,889,251,5,91.18942731277534
1791,889,251,6,97.30242360379347
1792,889,251,7,90.75586446568201
1793,889,251,8,93.97312859884836
1794,889,251,9,96.95749440715883
1795,889,251,10,97.92179967862882
1796,889,251,11,93.97312859884836
1797,889,251,12,39.968578161822464
1803,889,504,1,66.3013698630137
1804,889,504,2,66.5871121718377
