Incident Number,Day,Month,Hour,Lat,Long
16-0029293,0,Wednesday,May,42.2946775,-71.0667383
16-0029294,0,Wednesday,May,52.9665908,-0.0425130236630048
16-0029296,0,Wednesday,May,,
16-0029297,0,Wednesday,May,,
16-0029298,0,Wednesday,May,42.555271,-82.913437
16-0029299,1,Wednesday,May,42.3750712,-71.0307850849141
16-0029300,1,Wednesday,May,42.3604823,-71.0595678
16-0029301,1,Wednesday,May,,
16-0029303,2,Wednesday,May,52.9500834,-0.0310881
16-0029304,2,Wednesday,May,,
16-0029306,3,Wednesday,May,42.35271605,-71.0533695139157
16-0029307,3,Wednesday,May,42.3511204,-71.0868025
16-0029308,3,Wednesday,May,42.3811073,-71.0284759
16-0029312,4,Wednesday,May,42.3793086,-71.0601044
16-0029314,4,Wednesday,May,,
16-0029316,5,Wednesday,May,42.3741282,-71.0328065
16-0029318,6,Wednesday,May,,
16-0029319,6,Wednesday,May,42.3480331,-71.0369182
16-0029320,6,Wednesday,May,42.34448945,-71.0970162828156
16-0029323,7,Wednesday,May,42.35422345,-71.0514928986113
16-0029324,7,Wednesday,May,42.329009,-71.086067
16-0029325,7,Wednesday,May,42.31461,-71.088331
16-0029328,7,Wednesday,May,,
16-0029329,7,Wednesday,May,42.271351,-71.082413
16-0029331,7,Wednesday,May,42.348989,-71.0638262
16-0029332,7,Wednesday,May,42.3604823,-71.0595678
16-0029336,7,Wednesday,May,50.8024914,-1.6067032
16-0029337,7,Wednesday,May,,
16-0029338,7,Wednesday,May,,
16-0029341,7,Wednesday,May,42.3500897,-71.0606633556785
16-0029342,7,Wednesday,May,42.298122,-71.070936
16-0029345,8,Wednesday,May,42.287059,-71.076285
16-0029348,8,Wednesday,May,42.3434533,-71.0582443
16-0029353,9,Wednesday,May,42.292773,-71.121393
16-0029355,9,Wednesday,May,42.3866892,-71.0068424
16-0029356,9,Wednesday,May,,
16-0029357,9,Wednesday,May,,
16-0029358,9,Wednesday,May,,
16-0029360,9,Wednesday,May,14.2797483,120.9732905
16-0029363,9,Wednesday,May,,
16-0029365,9,Wednesday,May,42.329009,-71.086067
16-0029367,10,Wednesday,May,42.317196,-71.0649343
16-0029368,10,Wednesday,May,,
16-0029369,10,Wednesday,May,,
16-0029371,11,Wednesday,May,42.306147,-71.12442
16-0029372,11,Wednesday,May,42.3259609,-71.083479
