Incident Number,Day,Month,Hour,Lat,Long
16-0001033,1,Wednesday,0,41.2781512,-73.4073429
16-0001038,2,Wednesday,0,42.342247,-71.069522
16-0001039,2,Wednesday,0,42.321045,-71.106676
16-0001040,3,Wednesday,0,42.303907,-71.057372
16-0001041,3,Wednesday,0,42.3408979,-71.085662
16-0001043,3,Wednesday,0,42.3387682,-71.0747191
16-0001048,5,Wednesday,0,42.3446108,-71.1003536
16-0001050,6,Wednesday,0,42.329009,-71.086067
16-0001052,6,Wednesday,0,42.3575841,-71.0564128
16-0001055,7,Wednesday,0,42.335578,-71.602407
16-0001060,7,Wednesday,0,42.3706723,-71.0203909
16-0001064,8,Wednesday,0,42.2815578,-71.0508741
16-0001065,8,Wednesday,0,42.346817,-71.085501
16-0001067,8,Wednesday,0,42.334251,-71.050896
16-0001071,8,Wednesday,0,42.3467181,-71.0609504
16-0001072,8,Wednesday,0,42.3368694,-71.0531441
16-0001073,8,Wednesday,0,40.6864393,-74.9770242
16-0001074,9,Wednesday,0,42.36515975,-71.06885664
16-0001075,9,Wednesday,0,42.2995927,-71.1017299
16-0001079,9,Wednesday,0,42.35820875,-71.05680026
16-0001080,9,Wednesday,0,42.358606,-71.065076
16-0001085,10,Wednesday,0,42.374057,-71.0373709
16-0001087,10,Wednesday,0,42.303907,-71.057372
16-0001092,10,Wednesday,0,42.3440103,-71.0901672
16-0001095,10,Wednesday,0,42.278736,-71.079725
16-0001096,10,Wednesday,0,42.315513,-71.098269
16-0001097,10,Wednesday,0,42.3318047,-71.0735126
16-0001098,10,Wednesday,0,42.3330188,-71.0726472
16-0001102,10,Wednesday,0,42.292987,-71.081442
16-0001106,11,Wednesday,0,42.3248426,-71.0950158
16-0001107,11,Wednesday,0,42.250593,-71.140899
16-0001112,11,Wednesday,0,42.3470278,-71.0922309
16-0001114,11,Wednesday,0,42.3414187,-71.0790063
16-0001116,11,Wednesday,0,42.3199571,-71.1117076
16-0001117,11,Wednesday,0,42.2514877,-71.1147738
16-0001119,11,Wednesday,0,42.28567705,-71.15284916
16-0001128,12,Wednesday,0,42.319494,-71.097312
16-0001129,12,Wednesday,0,42.315513,-71.098269
16-0001130,12,Wednesday,0,42.2853591,-71.15365114
16-0001135,12,Wednesday,0,42.340881,-71.071388
16-0001138,12,Wednesday,0,42.33600905,-71.06947887
16-0001142,12,Wednesday,0,42.258318,-71.125902
16-0001143,12,Wednesday,0,42.3490323,-71.095165
16-0001149,13,Wednesday,0,42.342278,-71.105358
16-0001150,13,Wednesday,0,42.335827,-71.051407
16-0001153,13,Wednesday,0,42.333125,-71.034338
16-0001154,13,Wednesday,0,42.3604823,-71.0595678
16-0001162,14,Wednesday,0,42.3357669,-71.0448637
16-0001163,14,Wednesday,0,42.310631,-71.067723
16-0001165,14,Wednesday,0,42.345086,-71.0843922
16-0001166,14,Wednesday,0,42.3287665,-71.084102
16-0001168,14,Wednesday,0,42.321425,-71.113213
16-0001170,14,Wednesday,0,42.3844095,-71.0154583
16-0001175,15,Wednesday,0,42.308936,-71.108032
16-0001176,15,Wednesday,0,42.304186,-71.106278
16-0001177,15,Wednesday,0,42.307884,-71.112742
16-0001178,15,Wednesday,0,42.3012981,-71.1125139
16-0001183,15,Wednesday,0,42.307999,-71.06938
16-0001184,16,Wednesday,0,42.3470278,-71.0922309
16-0001185,16,Wednesday,0,42.308592,-71.067055
16-0001187,16,Wednesday,0,42.331254,-71.104199
16-0001191,16,Wednesday,0,42.3587085,-71.067829
16-0001194,16,Wednesday,0,42.2937486,-71.1155151
16-0001200,17,Wednesday,0,42.306521,-71.062901
16-0001201,17,Wednesday,0,42.388918,-71.00633
16-0001204,17,Wednesday,0,42.2923761,-71.078748
16-0001206,17,Wednesday,0,42.305929,-71.152947
16-0001209,18,Wednesday,0,42.2806543,-71.0578279
16-0001210,18,Wednesday,0,42.2440054,-71.1317136
16-0001211,18,Wednesday,0,42.2923761,-71.078748
16-0001215,18,Wednesday,0,42.869767,-76.9872215
16-0001216,18,Wednesday,0,42.385791,-71.006407
16-0001223,19,Wednesday,0,42.379689,-71.038355
16-0001227,19,Wednesday,0,42.285648,-71.11799
16-0001228,19,Wednesday,0,42.3560992,-71.05391861
16-0001230,19,Wednesday,0,42.3619187,-71.0701194
16-0001231,19,Wednesday,0,42.284302,-71.074194
16-0001234,20,Wednesday,0,42.3346495,-71.0732123
16-0001236,20,Wednesday,0,42.380481,-71.0646239
16-0001237,20,Wednesday,0,42.3523066,-71.0807705
16-0001239,20,Wednesday,0,42.32934435,-71.05222258
16-0001242,21,Wednesday,0,42.2862852,-71.0415454
16-0001243,21,Wednesday,0,42.364058,-71.056317
16-0001245,21,Wednesday,0,42.2987471,-71.0721041
16-0001246,21,Wednesday,0,42.3504953,-71.0686605
16-0001247,21,Wednesday,0,42.3080665,-71.0625902
16-0001250,21,Wednesday,0,42.2862852,-71.0415454
16-0001252,21,Wednesday,0,42.3573374,-71.0549013
16-0001253,22,Wednesday,0,42.3475844,-71.065728
16-0001257,22,Wednesday,0,42.32934435,-71.05222258
16-0001258,22,Wednesday,0,42.343451,-71.0977164
16-0001259,22,Wednesday,0,43.107682,-89.365496
16-0001263,23,Wednesday,0,42.2626239,-71.105408
16-0001267,23,Wednesday,0,42.3429019,-71.0574784
16-0001269,23,Wednesday,0,42.3663498,-71.0621144
16-0001271,23,Wednesday,0,42.3480331,-71.0369182
16-0001274,0,Thursday,0,42.3103613,-71.1626429
16-0001275,0,Thursday,0,42.3426385,-71.0364948
16-0001281,1,Thursday,0,42.237462,-71.126633
16-0001282,1,Thursday,0,42.28638955,-71.1285398
16-0001284,1,Thursday,0,42.3604823,-71.0595678
16-0001285,1,Thursday,0,42.237462,-71.126633
16-0001286,2,Thursday,0,42.3158007,-71.0637125
16-0001288,2,Thursday,0,42.3299,-71.079064
16-0001291,3,Thursday,0,42.316314,-71.082652
16-0001294,3,Thursday,0,42.3587085,-71.067829
16-0001295,3,Thursday,0,42.351347,-71.1313895
16-0001297,4,Thursday,0,42.3319603,-71.1120478
16-0001298,5,Thursday,0,42.28531955,-71.15347796
16-0001299,5,Thursday,0,42.3587085,-71.067829
16-0001302,6,Thursday,0,42.3561584,-71.0574634
16-0001307,7,Thursday,0,42.3440103,-71.0901672
16-0001308,7,Thursday,0,42.3732588,-71.0378558
16-0001309,7,Thursday,0,42.3417436,-71.0906399
16-0001310,7,Thursday,0,42.277733,-71.092155
16-0001312,7,Thursday,0,42.36386605,-71.0609666
